startDate,Abstract Registration Due,Final Version Due,endDate,City,Acronym,Type,Title,Field,Submission Deadline,Country,Homepage,Notification Due
2017-06-27T00:00:00,,,2017-06-29T23:59:59,Victoria Falls Zimbabwe,ACRID 2017,Conference,"ACRID  2017 : EAI International Conference for Research, Innovation and Development for Africa","electronics, communications, energy and power systems, computer systems",,,www.acridconference.org/2017/show,
2016-12-12T00:00:00,,2016-10-15T00:00:00,2016-12-13T23:59:59,Pilani  Rajasthan  India,IHCI 2016,Conference,IHCI  2016 : 8th International Conference on Intelligent Human Computer Interaction,,2016-08-10T00:00:00,,www.bits-pilani.ac.in/IHCI2016/,2016-09-30T00:00:00
2018-07-18T00:00:00,,,2018-07-20T23:59:59,Netherlands,AED 2018,Conference,AED  2018 : Architectural and Environmental Design(AED),"architectural design, environmental design, urban planning, renewable energy",,,www.ierek.com/events/architecture-environmental-design/,
2016-11-19T00:00:00,,2016-10-22T00:00:00,2016-11-20T23:59:59,Bologna,OWLED-ORE 2016,Conference,OWLED-ORE  2016 : 13th OWL: Experiences and Directions Workshop (OWLED) and 5th OWL Reasoner Evaluation Workshop (ORE),"ontology, knowledge representation, reasoning",2016-09-15T00:00:00,,www.w3.org/community/owled/workshop-2016/,2016-10-06T00:00:00
2016-10-25T00:00:00,,,2016-10-26T23:59:59,Boston,Protein-Protein Interaction 2016,Conference,Protein-Protein Interaction  2016 : 4th Protein-Protein Interaction Conference,"biotechnology, BIOCHEMISTRY, protein",2016-09-25T00:00:00,MA,www.gtcbio.com/conferences/protein-protein-interaction-overview,
2016-11-18T00:00:00,2016-11-15T00:00:00,,2016-11-20T23:59:59,Columbia University,IEEE SmartCloud 2016,Conference,IEEE SmartCloud  2016 : IEEE Symposium of Brain-Inspired Computing for Medical Big Data,cloud computing,2016-08-01T00:00:00,USA,csis.pace.edu/CSCloud/sc2016/symposium.htm,2016-09-15T00:00:00
2016-08-27T00:00:00,,2016-08-23T00:00:00,2016-08-28T23:59:59,Dubai,EDU 2016,Conference,EDU  2016 : Third International Conference on Education,"education, e-learning , multimedia, mobile computing",2016-07-23T00:00:00,UAE,csen2016.org/edu/index.html,2016-08-20T00:00:00
2016-11-13T00:00:00,,2016-10-02T00:00:00,2016-11-13T23:59:59,Salt Lake City,PMBS 2016,Conference,"PMBS  2016 : 7th International Workshop on Performance Modeling, Benchmarking and Simulation of High Performance Computer Systems","high performance computing, modeling, benchmarking, simulation",2016-08-26T00:00:00,,www.pmbsworkshop.org,2016-09-25T00:00:00
2016-10-28T00:00:00,,,2016-10-28T23:59:59,Al. Jerozolimskie 81,"Alienation of Man in Culture, Society  2016",Conference,"Alienation of Man in Culture, Society   2016 : Maria Isaienkova","psychology, sociology, philosophy, anthropology",2016-08-10T00:00:00,,alienation.irf-network.org/,
2016-11-25T00:00:00,,,2016-11-26T23:59:59,Al. Jerozolimskie 85/21,Slavonic and East European Studies 2016,Conference,Slavonic and East European Studies  2016 : Maria Isaienkova,"history, economics, politics, culture",2016-08-10T00:00:00,,www.icsees.irf-network.org/,
