startDate,Abstract Registration Due,Final Version Due,endDate,City,Acronym,Type,Title,Field,Submission Deadline,Country,Homepage,Notification Due
2017-06-15T00:00:00,,2017-04-20T00:00:00,2017-06-16T23:59:59,Amadora,ECDG 2017,Conference,ECDG  2017 : 17th European Conference on Digital Government,"digital government, e-government, mobile devices, education",2016-11-24T00:00:00,,www.academic-conferences.org/conferences/ecdg/call-for-papers/,2016-12-04T00:00:00
2017-05-22T00:00:00,,,2017-05-25T23:59:59,Vancouver,SIAMOPT 2017,Conference,SIAMOPT  2017 : SIAM Conference on Optimization,"optimization, control",,,www.siam.org/meetings/op17/,
2017-07-10T00:00:00,,,2017-07-12T23:59:59,Pittsburgh,CCA 2017,Conference,CCA  2017 : SIAM Conference on Control and Its Applications,control,,,www.siam.org/meetings/ct17/,
2017-04-23T00:00:00,2016-10-15T00:00:00,2017-02-20T00:00:00,2017-04-26T23:59:59,VA,HPC 2017,Conference,HPC  2017 : High Performance Computing Symposium,"HPC, computer science, supercomputers, high performance computing",2016-12-15T00:00:00,USA,www.fit.vutbr.cz/events/HPC2017/,2017-01-31T00:00:00
2017-12-15T00:00:00,,,2017-12-17T23:59:59,Melbourne,CDC 2017,Conference,CDC  2017 : 56th IEEE Conference on Decision and Control,control,2017-03-20T00:00:00,,cdc2017.ieeecss.org/cfp.php,
2017-03-06T00:00:00,,,2017-03-09T23:59:59,Japan,ISCS 2017,Conference,ISCS  2017 : SICE International Symposium on Control Systems,control,2016-11-11T00:00:00,,iscs2017.sice-ctrl.jp,
2017-12-17T00:00:00,,,2017-12-20T23:59:59,Australia,ASCC 2017,Conference,ASCC  2017 : The 2017 Asian Control Conference,control,2017-07-10T00:00:00,,www.ascc2017.com,
2017-07-03T00:00:00,,,2017-07-06T23:59:59,Malta,MED 2017,Conference,MED  2017 : 25th Mediterranean Conference on Control and Automation,control,2017-02-06T00:00:00,,www.um.edu.mt/events/med2017/,
2017-04-27T00:00:00,,,2017-04-28T23:59:59,Porto,GISTAM 2017,Conference,"GISTAM  2017 : 3rd International Conference on Geographical Information Systems Theory, Applications and Management",,2016-11-30T00:00:00,,www.gistam.org/,2017-02-01T00:00:00
2016-12-12T00:00:00,,0020-03-08T00:00:00,2016-12-12T23:59:59,Luxembourg,CloudBpm 2016,Conference,CloudBpm  2016 : CFP- CloudBpm 2016 in conjunction with IEEE CloudCom -Luxembourg,"cloud computing, business process management, business process analysis, business process monitoring",0024-02-06T00:00:00,,www.cloudbpm2016.org,0008-03-08T00:00:00
