startDate,Abstract Registration Due,Final Version Due,endDate,City,Acronym,Type,Title,Field,Submission Deadline,Country,Homepage,Notification Due
2016-11-14T00:00:00,,2016-10-10T00:00:00,2016-11-14T23:59:59,UT,PyHPC 2016,Conference,PyHPC  2016 : 6th Workshop on Python for High-Performance and Scientific Computing,"python, HPC, big data, data science",2016-09-05T00:00:00,USA,www.dlr.de/sc/pyhpc2016,2016-09-26T00:00:00
2016-10-10T00:00:00,,,2016-10-10T23:59:59,Alberta,WRSIC 2016,Conference,WRSIC  2016 : Workshop on Research Infrastructure and Services in the Cloud,"cloud computing, services, research support",2016-08-15T00:00:00,Canada,wrisc.etil.ca/,
2017-04-22T00:00:00,,2017-02-17T00:00:00,2017-04-26T23:59:59,Porto,WICSPIT 2017,Conference,"WICSPIT  2017 : IoTBDS/SMARTGREENS Workshop -- Innovative CyberSecurity and Privacy for Internet of Things: Strategies, Technologies, and Implementations","computer science, cyber security, IOT, smart cities",2017-01-17T00:00:00,Portugal,www.iotbds.org/WICSPIT.aspx,2017-02-02T00:00:00
2016-10-20T00:00:00,,,2016-10-23T23:59:59,Sparta,NUBACoM 2016,Conference,"NUBACoM  2016 : Natural, Unconventional, and Bio-inspired Algorithms and Computation Methods Workshop","computer science, bio-inspired computation, natural computing, quantum computation",2016-08-20T00:00:00,Greece,www.genedis.eu/natural-unconventional-and-bio-inspired-algorithms-and-computation-methods-workshop-nubacom-2016,2016-09-20T00:00:00
2016-11-03T00:00:00,,,2016-11-04T23:59:59,University of Sussex,DesInC 2016,Conference,DesInC  2016 : Designing Interfaces for Creativity Symposium,"digital art, creativity, interface design, HCI",2016-09-08T00:00:00,,desinc.mfm.sussex.ac.uk,2016-09-23T00:00:00
2016-10-31T00:00:00,,,2016-11-04T23:59:59,Havana,INFO 2016,Conference,INFO  2016 : International Congress of Information,"libraries, information science, open access, knowledge management",2016-08-10T00:00:00,Cuba,www.congreso-info.cu,
2017-06-29T00:00:00,,2017-01-26T00:00:00,2017-06-30T23:59:59,Dublin,ECCWS 2017,Conference,ECCWS  2017 : 16th European Conference on Cyber Warfare and SecurityECCWS 2017,"cyber, warfare, security",2016-12-08T00:00:00,Ireland,www.academic-conferences.org/conferences/eccws/,2016-12-18T00:00:00
2017-04-22T00:00:00,,2017-02-08T00:00:00,2017-04-24T23:59:59,Porto,VEHITS 2017,Conference,VEHITS  2017 : 3rd International Conference on Vehicle Technology and Intelligent Transport Systems,,2016-11-23T00:00:00,Portugal,www.vehits.org,2017-01-25T00:00:00
2017-04-22T00:00:00,,2017-02-08T00:00:00,2017-04-24T23:59:59,Porto,SMARTGREENS 2017,Conference,SMARTGREENS  2017 : 6th International Conference on Smart Cities and Green ICT Systems,,2016-11-23T00:00:00,Portugal,www.smartgreens.org,2017-01-25T00:00:00
2017-04-21T00:00:00,,2017-02-13T00:00:00,2017-04-23T23:59:59,Porto,CSEDU 2017,Conference,CSEDU  2017 : 9th International Conference on Computer Supported Education,,2016-11-28T00:00:00,Portugal,www.csedu.org/,2017-01-30T00:00:00
