startDate,Type,Final Version Due,endDate,City,Acronym,Country,Title,Abstract Registration Due,Field,Submission Deadline,Homepage,Notification Due
2016-12-08T00:00:00,Conference,,2016-12-10T23:59:59,Hong Kong,ACESD 2016,,"ACESD  2016 : Asia Conference on Environment and Sustainable Development 2016 (ACESD 2016)-EI, Scopus, and ISI",,"sustainability, environment, energy, renewable energy",2016-09-20T00:00:00,www.acesd.org/,
2016-12-08T00:00:00,Conference,,2016-12-10T23:59:59,Hong Kong,ICNEA 2016,,"ICNEA  2016 : 2016 International Conference on New Energy and Applications (ICNEA 2016)-EI, Scopus and ISI",,"energy, renewable energy, robotics, electrical engineering",2016-09-20T00:00:00,www.icnea.org/,
2017-05-27T00:00:00,Conference,,2017-05-29T23:59:59,Lisbon,ICMIT 2017,Portugal,"ICMIT  2017 : 2017 The 4th International Conference on Manufacturing and Industrial Technologies(ICMIT 2017) - Ei, SCOPUS",,"manufacturing, industrial engineering, mechanical engineering, engineering",2017-01-25T00:00:00,www.icmit.org/,
2017-05-27T00:00:00,Conference,,2017-05-29T23:59:59,Lisbon,ICMEP 2017,Portugal,ICMEP  2017 : 2017 The 6th International Conference on Manufacturing Engineering and Process (ICMEP 2017)-EI,,"manufacturing, engineering, systems engineering, mechanical engineering",2017-01-25T00:00:00,www.icmep.org/,
2017-04-01T00:00:00,Conference,,2017-04-01T23:59:59,Bali,ICSCER 2017,Indonesia,ICSCER  2017 : 2017 International Conference on Structure and Civil Engineering Research (ICSCER 2017),,"civil engineering, architecture, nanotechnology, materials",2016-10-15T00:00:00,www.icscer.org/,
2017-04-01T00:00:00,Conference,,2017-04-01T23:59:59,Bali,ICNME 2017,Indonesia,"ICNME  2017 : 2017 5th International Conference on Nano and Materials Engineering (ICNME 2017)-SCOPUS, Ei",,"nanotechnology, materials, mechanical engineering, manufacturing",2016-10-20T00:00:00,www.icnme.org/,
2017-04-07T00:00:00,Conference,,2017-04-09T23:59:59,Berlin,ICEEEP 2017,Germany,ICEEEP  2017 : 2017 International Conference on  Energy Economics and Energy Policy (ICEEEP 2017),,"energy, renewable energy, economics, electrical engineering",2016-10-25T00:00:00,www.iceeep.com/,
2017-04-07T00:00:00,Conference,,2017-04-09T23:59:59,Berlin,ICACER 2017,Germany,ICACER  2017 : 2017 2nd International Conference on Advances on Clean Energy Research (ICACER 2017)-Ei and Scopus,,"energy, renewable energy, electronics, electrical engineering",2016-10-20T00:00:00,www.icacer.com/,
2017-01-06T00:00:00,Conference,,2017-01-08T23:59:59,Hong Kong,ICBCT 2017,,ICBCT  2017 : 2017 International Conference on Bioinformatics and Computing Technologies (ICBCT 2017),,"bioinformatics, cloud computing, communications, data mining",2016-09-30T00:00:00,www.icbct.org/,
2017-01-06T00:00:00,Conference,,2017-01-08T23:59:59,Hong Kong,ICBCB 2017,,ICBCB  2017 : 2017 5th International Conference on Bioinformatics and Computational Biology (ICBCB 2017)-Ei Compendex and Scopus,,"computational biology, computational intelligence, bioinformatics, artificial intelligence",2016-09-30T00:00:00,www.icbcb.org/,
