startDate,Type,Final Version Due,endDate,City,Acronym,Country,Title,Abstract Registration Due,Field,Submission Deadline,Homepage,Notification Due
2017-05-11T00:00:00,Conference,,2017-05-14T23:59:59,Kobe,ACTC 2017,Japan,ACTC  2017 : The Asian Conference on Technology in the Classroom 2017,,"technology, education, teaching, classroom technology",2016-12-28T00:00:00,iafor.org/conferences/actc2017/,
2017-05-11T00:00:00,Conference,,2017-05-14T23:59:59,Kobe,ACLL 2017,Japan,ACLL  2017 : The Asian Conference on Language Learning 2017,,"language, technology, education, linguistics",2016-12-28T00:00:00,iafor.org/conferences/acll2017/,
2017-01-09T00:00:00,Conference,,2017-01-11T23:59:59,MUMBAI,ICDC 2017,,ICDC  2017 : The International Conference Dis/Ability Communication: Perspectives and Challenges in the 21st Century (ICDC-2017),,,2017-08-30T00:00:00,icdc2016-universityofmumbai.org/index.html,
2016-10-17T00:00:00,Conference,,2016-10-17T23:59:59,New York City,LaSh 2016,,LaSh  2016 : Fifth Workshop on Logic and Search,,"logic, computer science, knowledge representation, artificial intelligence",2016-08-20T00:00:00,www.logicandsearch.org/LaSh2016/,
2016-10-27T00:00:00,Conference,,2016-10-29T23:59:59,Bolivia,BETCON 2016,,BETCON  2016 : Bolivian Engineering and Technology Congress,,"robotics, energy, telecommunications, computer science",2016-09-20T00:00:00,betcon2016.upb.edu/,2016-10-03T00:00:00
2016-11-24T00:00:00,Conference,2016-10-10T00:00:00,2016-11-26T23:59:59,Quito,INCISCOS 2016,Ecuador,INCISCOS  2016 : International Conference on Information Systems and Computer Science,,"computer science, information systems, data mining, security",2016-09-15T00:00:00,ingenieria.ute.edu.ec/inciscos/index.php/en/call-for-papers,2016-10-05T00:00:00
2017-03-15T00:00:00,Conference,,2017-03-17T23:59:59,Republic Polytechnic Singapore,5th IPBLS 2017,,5th IPBLS  2017 : 5th Interntaional Problem-Based Learning (PBL) Symposium 2017,,"curriculum and pedagogy, student learning experience, assessment and evaluation, professional development",2016-09-15T00:00:00,www.rp.edu.sg/Call-for-Papers.aspx,2016-10-15T00:00:00
,Conference,,,,SI-mlt 2017,,"SI-mlt  2017 : Special Issue on Mobile learning technologies, application and evaluation for future mobile networks",,"computer science, mobile computing, artificial intelligence, wireless sensor networks",,www.journals.elsevier.com/computers-and-electrical-engineering/call-for-papers/special-issue-on-mobile-learning-technologies-application-an,
2017-03-07T00:00:00,Conference,,2017-03-09T23:59:59,Tucson,WCM Conference 2017,Arizona,WCM Conference  2017 : Warranty Chain Management Conference 2017,,"warranty, extended warranty, service contract, analytics",2016-09-30T00:00:00,www.warrantyconference.com/conference-program/call-for-papers.html,
,Conference,,,,CJILS  2017,,CJILS   2017 : Canadian Journal of Information Library Science,,,,cais-acsi.ca/guidelines-for-submission/,
